image;answer1;answer2;answer3;comment
chili.png;Chili;Éthiopie;France;Le rouge représente le sang des patriotes ayant lutté pendant l'indépendance, le blanc représente la neige des Andes, le bleu représente le ciel, l'étoile insiste sur l'unité de la république.
chine.png;Chine;Mexique;Papouasie-Nouvelle-Guinée;Le rouge représente la révolution, les cinq étoiles et leur relation représentent l'unité du peuple chinois sous la direction du Parti communiste chinois.
chypre.png;Chypre;Afghanistan;Guinée-Bissau;Ce drapeau représente la carte de l'île (de couleur cuivre symbolisant les importants minerais de cuivre présents sur l'île) placée au-dessus de deux branches d'olivier (symbole de paix).
colombie.png;Colombie;Bahamas;Malte;Le jaune représente l'or, le bleu représente les deux océans qui baignent le littoral du pays et le rouge symbolise le sang qui a coulé pour la libération du pays.
coreedunord.png;Corée du Nord;Botswana;Saint-Vincent-et-les-Grenadines;Il est constitué de bandes bleues et rouges, symbolisant respectivement la paix et le socialisme. L'étoile rouge (représentant le socialisme) représente l'univers, le yīn et le yáng.
coreedusud.png;Corée du Sud;Russie;Namibie;Les quatre trigrammes du Livre des Mutations représentant les quatre éléments : la terre, le ciel, le feu et l'eau. Ajouté au yin/yan, ce drapeau symbolise l'harmonie universelle.
cotedivoire.png;Côte d'Ivoire;Palaos;Chine;La couleur orange symbolise les savanes du Nord du pays, la couleur blanche, représente la paix et la couleur verte symbolise à la fois l'espoir et les forêts du Sud du pays.
croatie.png;Croatie;Colombie;Somalie;Le blason est échiqueté de gueules et d'argent. Il est surmonté, de senestre à dextre (de gauche à droite), de cinq petits écus qui représentent les régions constitutives du pays.
cuba.png;Cuba;Honduras;République démocratique du Congo;L'étoile blanche se nomme La Estrella Solitaria (« l'Étoile solitaire ») et s'identifie à la liberté chèrement acquise, le triangle est la représentation maçonnique de l'égalité.
danemark.png;Danemark;Micronésie;Qatar;Le drapeau du Danemark est aussi nommé Dannebrog (« vêtement rouge » ou « vêtement danois »). Il possède une croix scandinave, aussi intitulée Croix de saint Olaf.
egypte.png;Égypte;Vatican;Russie;Le rouge renvoie au coup d'État militaire en 1952. Le blanc symbolise ce coup d'État, perpétré sans verser de sang. Le noir représente la fin de l'oppression des colons britanniques.
espagne.png;Espagne;Sénégal;Éthiopie;Les armoiries de l'Espagne possèdent des couleurs fréquentes dans l'héraldisme ibérique : or sur rouge est l'emblème traditionnel de la Castille, les pals rouges sur jaune celui des royaumes d'Aragon.
etatsunis.png;Etats-Unis;Mexique;Biélorussie;Les 50 étoiles représentent les États membres de l'Union et les treize bandes représentent les 13 colonies britanniques à l'origine de la création de l'État américain.
finlande.png;Finlande;Tadjikistan;Kiribati;Ce drapeau représente la croix scandinave bleue. Le bleu symbolise les lacs et le ciel tandis que le blanc symbolise la neige et les blanches nuits de l'été finlandais.
france.png;France;Monténégro;Bosnie-Herzégovine;Le bleu est la couleur de la ville de Paris. Le blanc est associé à la monarchie française. Le rouge est la couleur du sang versé pour libérer le peuple.
grece.png;Grèce;Colombie;Uruguay;La croix symbolise la foi chrétienne et la victoire sur l’occupant. Les neuf bandes rappel les neuf syllabes qui constituent la devise grecque (Eleuthería í thánatos), soit «la liberté ou la mort».
hongrie.png;Hongrie;Samoa;Tchad;Le rouge pour la force et le sang versé pour la patrie, le blanc pour la foi et la liberté, le vert pour l'espérance, la campagne et les pâtures de Hongrie.
inde.png;Inde;Pays-Bas;Kazakhstan;Au centre se trouve un rouet (charkha), symbolisant l'objectif du Mahatma de pousser les Indiens à l'autosuffisance en fabriquant leurs propres tissus.
irlande.png;Irlande;France;Bulgarie;Le vert représente la couleur traditionnelle de l'Irlande gaélique, que l'orange représente la tradition d'Orange, et que le blanc symbolise la paix entre le vert et l'orange.
islande.png;Islande;Namibie;Madagascar;Le rouge représente le feu des volcans d'Islande, le blanc rappelle les champs de neige et la glace de l'île, le bleu représente l'océan environnant.
israel.png;Israël;Biélorussie;Oman;Le drapeau d'Israël possède en son centre, une étoile bleue à six branches (hexagramme), ou étoile de David. L'hexagramme comme symbole juif remonte à l'époque médiévale.
italie.png;Italie;Équateur;Philippines;Le vert pour les collines des Monts Apennins, le blanc pour la neige des Alpes et le rouge pour le sang des martyrs des trois guerres d'Indépendance du xixe siècle.
jamaique.png;Jamaïque;Brunei;Seychelles;Le vert représente l'espoir, la végétation et l'agriculture, le noir reflète les difficultés à surmonter les obstacles et à faire face, le jaune symbolise le soleil doré.
japon.png;Japon;Guyana;Liberia;Le disque rouge représente le soleil. C'est le drapeau civil, le drapeau d'État, le pavillon marchand et le pavillon d'État du Japon. Il est connu sous le nom de Hinomaru.
luxembourg.png;Luxembourg;Jamaïque;Bulgarie;Officiellement le drapeau n'a été adopté qu'en 1972, avec la loi du 23 juin et amendée en 1993 avec celle du 27 juillet.
malaisie.png;Malaisie;Albanie;Kiribati;Les 14 bandes signifient l'égalité de statut dans la fédération des 13 Etats membres et du gouvernement fédéral, le croissant est un symbole traditionnel de l'Islam.
maroc.png;Maroc;Éthiopie;Samoa;Le rouge et le vert sont les couleurs traditionnelles de drapeaux arabes. Le pentacle représente les piliers de l'Islam et cinq signifie le lien entre Dieu et la nation.
mexique.png;Mexique;Égypte;Pays-Bas;Le blason est dérivé d'une légende selon laquelle les Aztèques erraient, à l'origine, à la recherche d'un lieu où s'établir et qui serait signalé par un aigle sur un cactus en train de manger un serpent.
monaco.png;Monaco;Bahreïn;Saint-Vincent-et-les-Grenadines;Ces couleurs sont celles des Grimaldi, la maison régnante, et ont été en usage depuis 1339, ce qui fait de ce drapeau l'un des plus anciens du monde.
norvege.png;Norvège;Angola;Nouvelle-Zélande;Les couleurs rappellent les dernières unions politiques de la Norvège avec le Danemark (rouge et blanc) et avec la Suède (bleu).
nouvellezelande.png;Nouvelle-Zélande;Djibouti;Etats-Unis;Les étoiles représentent la constellation de la Croix du Sud dont seulement quatre étoiles sur cinq sont visibles sur le drapeau de la Nouvelle-Zélande.
pakistan.png;Pakistan;Monaco;Bosnie-Herzégovine;Le croissant, l'étoile et la couleur verte sont des symboles traditionnels de l'Islam.
paysbas.png;Pays-Bas;Kenya;Gambie;A l'origine de la bande supérieure était orange, le rouge a finalement été adopté comme couleur permanente, la bannière est la plus ancienne bannière tricolore à avoir eu une utilisation continue.
perou.png;Pérou;Allemagne;Bhoutan;Le blason comporte un écu où sont figurés une vigogne (représentant la faune), un arbre de quinquina (la flore) et une corne d'abondance déversant des pièces jaunes (la richesse minérale).
pologne.png;Pologne;Italie;Bolivie;Ces deux couleurs sont définies dans la Constitution polonaise comme les couleurs nationales. Deux versions du drapeau existent, avec ou sans les armoiries de la Pologne.
portugal.png;Portugal;Chypre;Kirghizistan;Le vert et le rouge symbolisent l'espoir et le sang de ceux qui défendent la nation. Le blason national est une sphère armillaire comportant l'écu portugais.
roumanie.png;Roumanie;Saint-Vincent-et-les-Grenadines;Dominique;Les couleurs sont celles de la Valachie et de la Moldavie, qui ont été réunie en 1862 pour former la Roumanie, le blason national qui était au centre de la bande jaune a été retiré.
royaumeuni.png;Royaume-Uni;Burundi;Pérou;La croix en fond est celle du patron de l'Irlande rouge. L'autre croix superposée est celle du patron de l'Ecosse blanche. Ce drapeau est connu sous le nom de Union Jack.
russie.png;Russie;Belize;Zimbabwe;Symboliquement les trois bandes sont interprétées comme le tsar (blanc), le ciel (bleu) et le peuple (rouge).
senegal.png;Sénégal;Cuba;Mexique;Le vert représente l'Islam et l'espoir, le jaune signifie la richesse naturelle et le progrès, le rouge symbolise le sacrifice et la détermination, l'étoile signifie l'unité et l'espoir.
serbie.png;Serbie;Zambie;Kazakhstan;Le petit bouclier rouge est divisé en quatre quarts par une croix blanche : un « C » cyrillique dans chaque canton renvoie à la phrase « l'unité seule sauve les Serbes ».
singapour.png;Singapour;Bhoutan;Brésil;Le croissant de lune symbolise une jeune nation sur la pente ascendante. Les cinq étoiles représentent les idéaux de la nation : la démocratie, la paix, le progrès, la justice et l'égalité.
suisse.png;Suisse;Vanuatu;Hongrie;La croix blanche utilisée comme signe de reconnaissance des troupes de la Confédération suisse est attestée dès la bataille de Laupen (1339).
tunisie.png;Tunisie;Liechtenstein;Israël;Le rouge représente le sang versé par les martyrs dans la lutte contre l'oppression. Le blanc représente la paix. Le croissant et l'étoile sont des symboles traditionnels de l'Islam.
turquie.png;Turquie;Guinée-Bissau;Islande;Selon la légende, le drapeau représente le reflet de la lune et d'une étoile dans une mare de sang de guerriers turcs.
uruguay.png;Uruguay;Samoa;Bhoutan;Les bandes représentent les neuf départements d'origine de l'Uruguay. Le symbole du soleil évoque la légende de l'apparition soudaine du soleil à travers les nuages le 25 mai 1810.
